customer_id,age,gender,annual_income,spending_score,membership_years,preferred_category,online_purchases,store_visits,churn
1,56,Male,129952,38,5.4,Sports,15,8,0
2,69,Female,74235,84,1.1,Sports,10,1,0
3,46,Female,78565,70,9.0,Clothing,9,19,1
4,32,Female,75342,73,9.8,Electronics,41,26,0
5,60,Male,62723,52,1.9,Groceries,20,3,1
6,25,Female,55572,31,3.3,Home,24,8,1
7,38,Female,37610,26,0.7,Clothing,34,13,1
8,56,Female,54052,36,8.0,Clothing,5,18,0
9,36,Male,118993,26,3.5,Groceries,45,15,0
10,40,Male,107063,28,6.1,Sports,43,25,0
11,28,Female,57550,5,0.9,Sports,7,13,0
12,28,Female,74033,74,7.3,Home,33,14,0
13,41,Female,49011,18,5.5,Groceries,40,17,0
14,53,Male,122811,15,7.4,Clothing,45,27,0
15,57,Male,54764,57,8.0,Groceries,0,14,0
16,41,Male,117540,97,1.3,Electronics,2,18,0
17,20,Female,73533,5,6.0,Clothing,37,29,1
18,39,Male,44064,37,6.7,Home,26,8,1
19,19,Female,143989,86,5.4,Home,12,20,1
20,41,Female,147825,86,2.2,Clothing,42,20,0
21,61,Male,69581,22,8.1,Sports,46,15,0
22,47,Female,140388,52,10.0,Clothing,49,22,0
23,55,Male,48702,15,9.7,Clothing,18,29,0
24,19,Female,105701,17,7.9,Electronics,18,16,0
25,38,Female,143482,51,4.5,Clothing,5,9,1
26,50,Male,28631,45,3.7,Groceries,46,4,0
27,29,Female,143864,63,1.2,Groceries,13,8,0
28,39,Female,107388,28,4.5,Home,4,13,1
29,61,Female,144798,59,2.0,Sports,42,29,1
30,42,Female,90043,86,2.9,Home,44,21,0
31,66,Female,86063,21,9.0,Electronics,44,27,0
32,44,Female,48981,42,9.7,Clothing,35,23,0
33,59,Female,55764,81,9.5,Home,8,9,0
34,45,Female,121771,69,2.3,Clothing,22,23,1
35,33,Male,148787,82,9.1,Home,31,0,1
36,32,Male,70513,17,1.8,Clothing,28,23,0
37,64,Female,141505,68,5.3,Home,44,21,1
38,68,Female,149014,7,6.6,Groceries,27,19,0
39,61,Male,133076,89,4.9,Electronics,39,2,0
40,69,Female,119007,40,9.5,Home,10,15,0
41,20,Male,86198,40,3.7,Groceries,18,4,0
42,54,Male,44940,43,5.5,Sports,0,12,1
43,68,Male,127418,73,1.2,Home,8,4,0
44,24,Female,91792,83,8.6,Clothing,1,22,0
45,38,Female,48432,51,4.4,Electronics,3,24,0
46,26,Female,28367,73,7.2,Groceries,28,10,1
47,56,Male,131764,23,7.0,Groceries,3,16,1
48,35,Male,123601,95,6.9,Electronics,0,29,1
49,21,Male,45511,32,5.3,Home,27,24,0
50,42,Female,28573,31,3.1,Clothing,17,2,0
51,31,Male,35582,17,6.4,Sports,45,21,0
52,67,Male,25378,58,9.6,Home,12,5,0
53,26,Female,85296,86,8.4,Electronics,39,15,0
54,43,Male,33500,35,1.5,Home,5,19,0
55,19,Male,85841,30,0.7,Home,48,29,0
56,37,Female,41881,64,5.2,Electronics,42,1,0
57,45,Female,90233,53,7.9,Electronics,46,4,0
58,64,Male,71542,51,3.5,Sports,38,18,1
59,24,Female,85285,37,7.2,Electronics,21,19,0
60,61,Male,79547,90,9.4,Electronics,29,21,0
61,25,Female,82151,6,4.9,Electronics,26,10,0
62,64,Male,27222,34,2.8,Groceries,7,22,1
63,52,Female,27933,56,9.2,Electronics,42,17,0
64,31,Male,103385,96,5.0,Electronics,27,26,0
65,34,Female,109772,25,4.4,Electronics,1,2,0
66,53,Female,129767,13,3.9,Sports,19,11,0
67,67,Female,118706,63,4.5,Home,10,22,0
68,57,Female,98437,66,6.9,Electronics,13,12,0
69,21,Female,26940,5,4.6,Electronics,23,20,0
70,19,Female,134326,75,3.6,Sports,12,19,0
71,23,Female,104590,11,7.6,Home,7,19,0
72,59,Male,126399,88,2.4,Sports,43,8,0
73,21,Male,79145,78,2.4,Clothing,20,8,0
74,46,Female,63610,94,7.1,Clothing,21,25,0
75,35,Female,77520,44,8.7,Clothing,8,6,1
76,43,Male,24544,99,2.8,Electronics,41,0,0
77,61,Male,110854,85,2.3,Sports,42,0,0
78,51,Female,74812,69,6.9,Electronics,10,18,0
79,27,Male,91610,2,6.4,Clothing,15,2,0
80,53,Male,71500,40,4.7,Home,49,6,1
81,31,Female,59618,37,1.4,Home,8,11,1
82,48,Female,139090,49,1.4,Sports,2,29,1
83,65,Female,119054,98,7.9,Home,35,15,0
84,32,Male,45444,75,4.8,Clothing,41,12,1
85,25,Female,105982,36,8.7,Sports,12,17,0
86,31,Female,114079,75,6.0,Sports,0,23,0
87,40,Male,76586,73,6.4,Clothing,43,16,0
88,57,Female,44789,70,9.4,Clothing,10,26,0
89,38,Male,21617,34,2.1,Clothing,23,28,0
90,33,Male,148639,58,5.7,Clothing,4,23,1
91,62,Male,120834,37,1.1,Sports,1,8,0
92,35,Male,23333,96,3.9,Home,16,13,0
93,64,Male,60002,60,1.9,Clothing,16,4,0
94,41,Male,144477,12,2.3,Groceries,19,10,0
95,43,Female,83620,32,9.4,Sports,14,19,1
96,42,Female,107688,81,6.3,Electronics,3,5,1
97,62,Female,109627,4,9.0,Home,10,5,0
98,58,Male,20511,33,4.7,Sports,22,23,0
99,46,Female,132850,43,6.2,Clothing,0,7,1
100,32,Male,57850,9,0.8,Groceries,41,0,0
101,62,Female,141548,98,5.0,Electronics,49,8,0
102,18,Male,102172,51,5.9,Home,46,9,0
103,42,Female,106053,94,0.7,Clothing,3,16,0
104,24,Male,51786,20,8.0,Sports,37,2,1
105,26,Female,94356,39,3.3,Sports,1,22,1
106,41,Male,56244,23,4.8,Home,44,20,0
107,18,Female,94714,41,5.6,Groceries,26,21,0
108,61,Male,87261,44,9.9,Clothing,33,12,0
109,25,Female,38477,35,1.4,Home,12,7,0
110,41,Female,66533,23,5.8,Home,46,19,0
111,28,Female,54469,58,5.5,Sports,17,13,0
112,68,Male,28496,48,1.2,Home,10,29,1
113,34,Male,140522,87,6.5,Electronics,4,19,0
114,25,Male,32270,58,3.2,Electronics,28,7,1
115,52,Male,96008,57,1.5,Clothing,24,18,0
116,52,Male,40724,87,2.2,Home,13,12,0
117,50,Female,50416,39,8.3,Sports,47,5,0
118,22,Male,55575,28,1.5,Clothing,45,3,0
119,59,Female,101190,64,4.9,Groceries,40,5,1
120,56,Female,96614,62,2.4,Sports,37,19,1
121,58,Male,113566,83,2.0,Groceries,40,1,0
122,45,Female,140989,62,2.5,Clothing,36,9,0
123,24,Male,93108,94,5.2,Electronics,10,10,0
124,26,Male,37408,85,2.8,Sports,43,10,0
125,25,Male,147192,88,1.4,Sports,31,2,1
126,29,Female,39359,85,8.1,Clothing,48,10,0
127,51,Male,28698,26,5.6,Sports,5,7,0
128,50,Male,90392,51,2.0,Sports,5,28,0
129,65,Male,113063,50,5.0,Clothing,46,16,1
130,40,Female,59492,36,1.1,Home,48,26,0
131,41,Male,94781,26,6.0,Clothing,21,25,0
132,54,Female,63634,33,3.7,Sports,2,21,0
133,52,Female,137255,68,1.5,Clothing,18,24,0
134,61,Male,62864,73,2.2,Sports,33,0,1
135,57,Female,114482,8,3.8,Groceries,40,15,0
136,39,Female,57355,66,8.2,Groceries,40,28,0
137,44,Male,57690,93,2.2,Electronics,6,19,0
138,52,Male,57814,23,1.5,Clothing,15,6,0
139,18,Male,51645,70,5.4,Clothing,37,21,0
140,52,Female,104814,55,5.8,Groceries,8,21,0
141,54,Male,92739,43,1.4,Groceries,12,24,1
142,64,Female,76630,21,3.2,Groceries,33,7,0
143,31,Female,68171,22,3.0,Electronics,45,12,1
144,20,Female,41658,9,2.3,Electronics,36,28,1
145,18,Female,143980,34,3.5,Home,42,4,1
146,22,Female,146541,59,0.9,Clothing,46,26,0
147,43,Male,128132,26,6.7,Electronics,5,29,1
148,31,Male,35797,1,9.9,Sports,37,27,0
149,56,Female,78799,5,6.5,Clothing,47,26,0
150,44,Female,138301,41,3.9,Home,3,17,1
151,26,Male,118342,63,6.8,Groceries,4,11,0
152,32,Male,116494,22,5.9,Home,5,15,0
153,32,Female,72236,68,8.5,Clothing,12,2,1
154,43,Female,26265,48,6.4,Groceries,45,11,0
155,59,Male,147119,66,6.5,Home,23,25,1
156,30,Male,145611,16,2.6,Home,27,18,1
157,68,Female,92134,80,4.4,Clothing,12,19,0
158,49,Male,120719,53,3.8,Electronics,41,17,0
159,56,Male,102678,86,0.6,Sports,48,7,1
160,66,Female,73494,65,3.5,Home,17,23,0
161,69,Female,141754,79,5.1,Sports,6,29,0
162,49,Female,72268,64,6.2,Clothing,3,12,0
163,21,Male,135452,88,9.4,Clothing,30,27,0
164,47,Female,46998,68,2.8,Electronics,23,7,0
165,54,Male,111426,63,1.9,Groceries,21,9,0
166,40,Female,114414,62,8.8,Sports,20,13,0
167,56,Female,81339,82,9.4,Home,47,14,0
168,62,Male,34306,81,5.1,Groceries,41,20,0
169,32,Male,84006,71,1.6,Sports,25,14,0
170,60,Female,138717,45,5.1,Sports,29,25,1
171,46,Female,67345,52,1.5,Groceries,34,5,0
172,53,Male,31885,74,8.9,Groceries,22,13,0
173,30,Female,129681,65,7.2,Electronics,44,5,1
174,49,Male,63826,2,2.8,Home,39,22,0
175,24,Male,75597,49,8.9,Home,49,0,0
